Mast,MATHE7
186,3951180
186,8975868
186,4988420
186,6925508
186,4294163
186,4422726
186,7334217
186,5280628
186,6925501
186,2401853
186,70956
186,4824975
186,5302578
186,1509167
186,7856454
186,6369301
186,4570904
186,7856416
186,802262
301,2352083
301,3953093
301,5558023
301,1385373
301,1848514
301,1895149
301,3497816
301,4988597
301,7603433
301,8491216
301,3998705
301,4821229
301,5924346
301,7322764
301,1895889
301,5467494
301,6328456
301,7711927
301,8332850
301,1616104
301,1865480
301,1952680
301,3387618
301,6030878
301,6283371
301,1896927
301,4177198
301,3755482
301,7067073
301,8575074
301,1615898
301,2520259
301,3775120
301,3775221
301,1707966
301,1891857
301,6283481
301,6324818
301,8496475
301,1580251
301,6326117
301,3387578
301,10636
301,1895591
301,8911490
301,1893254
301,6328981
301,9543530
301,2353995
301,2389067
301,3215637
301,3435240
301,1792846
301,1890848
301,2641421
301,5503156
301,8219435
301,9178824
301,4203632
301,6999762
301,8218659
301,9809046
301,3365419
301,5889176
301,6286288
301,6328315
301,6824522
301,1707917
301,486411
301,4650453
301,4821421
301,4841557
301,6323913
301,315848
301,1787401
301,4907446
301,3188150
301,4841830
301,7148055
301,2351584
301,4035512
301,7508051
301,8129962
301,2321
301,1587335
301,5593719
301,5763519
301,8218082
301,1894560
301,3721787
301,6641306
301,8107847
301,3434843
301,9542884
301,1637647
301,4257337
301,5240640
301,6160105
301,8218340
301,9178103
301,9542803
301,1296014
301,1296746
301,1895119
301,1896897
301,5111823
301,1587314
301,1747230
301,4421285
301,6536750
301,6890110
301,4396830
301,6506119
301,6534449
301,62255
301,1596328
301,1895523
301,5028875
301,6035597
301,485007
301,485721
301,1616044
301,1896691
301,1952094
301,6116013
301,6409457
301,6506658
301,5979553
301,8706698
301,9800419
301,3517597
301,3899462
301,4308278
301,6890722
301,6891828
301,7161
301,6328342
301,1707927
301,4630848
301,6328319
301,6507372
301,7603402
301,1890841
301,3150648
301,8893238
301,1616054
301,2632402
301,2970778
301,4863998
301,7845369
304,850878
304,3038866
304,3914594
304,649481
304,825241
304,941890
304,4876324
304,5281557
304,5556061
304,8873042
304,18023
304,1748821
304,1875225
304,2532245
304,7943238
304,1875576
304,4616122
304,4945492
304,7868336
304,62758
304,683912
304,301993
304,2651252
304,7319237
304,8753383
304,8980892
304,9094903
304,2486236
304,2982521
304,4843276
304,4874921
304,5076514
304,8447222
304,8157903
304,8750008
304,146319
304,6464143
304,7769791
304,4079404
304,4557048
304,5150757
304,4910863
304,5279575
304,825188
304,3069954
304,9249915
304,9524403
304,302194
304,302687
304,960840
304,3947419
304,4434425
304,6847771
304,7857592
304,685305
304,2267217
304,3973918
304,4860018
304,851231
304,3032472
304,6990965
304,7771100
304,7950662
304,8624186
304,758047
304,4080170
304,9294091
304,1900132
304,1975789
304,3385499
304,3605423
304,3624952
304,6116075
304,6384258
304,8331251
304,4451232
304,7124624
304,464933
304,851297
304,2589589
304,3171774
304,464537
304,1926073
304,6464401
304,2022406
304,7854590
304,20941
304,464456
304,7828405
304,2315361
304,2898922
304,3005740
304,3783647
304,4457929
304,9684490
304,465203
304,2532828
304,3768412
304,1748677
304,1904997
304,3032457
304,4987678
304,5180525
304,5181858
304,8601799
304,941893
304,2317176
304,2531216
304,5289334
304,6383420
304,9106845
304,825203
304,2552219
304,3385420
304,9809500
304,302238
304,941864
304,3385416
304,4294064
304,7768088
304,8054813
304,1365777
304,8882644
304,9707228
304,1344992
304,1365975
304,4825002
304,7434595
304,302403
304,2979330
304,3165986
304,3350274
304,3710784
304,8750061
304,8751708
304,9706848
304,9809490
304,3068633
304,5490476
304,302199
304,2266870
304,3826316
304,8054779
304,960776
304,1104728
304,1869555
304,2332952
304,960718
304,4298085
304,278450
304,851283
304,2505191
304,5600054
304,941882
304,2321450
304,2587811
304,2899370
304,2978849
304,5179440
304,5667709
304,6600232
304,7435817
304,1978191
304,2983102
304,5179275
304,10792
304,465189
304,960732
304,1761956
304,3528095
304,5607575
305,5597619
305,6607820
305,9715332
305,1365827
305,1892733
305,6087913
305,1301522
305,154477
305,1939452
305,2589028
305,3489830
305,3892548
305,6225903
305,4939157
305,6529243
305,7620972
305,9284348
305,1749764
305,3156996
305,6366620
305,3030769
305,3047927
305,4037407
305,9092237
305,17457
305,3608045
305,7228462
305,7241019
305,8221212
305,8249
305,1856252
305,3878598
305,4040190
305,6773354
305,9781012
305,2646546
305,4571639
305,3273394
305,3771744
305,7036224
305,8598804
305,9654554
305,1301560
305,2644603
305,3634203
305,339723
305,1849977
305,2931082
305,4103913
305,227664
305,3887040
305,4493498
305,8255115
305,524920
305,4101627
305,4113382
305,1367988
305,3684408
305,4107103
305,5304330
305,8446796
305,1551831
305,1617854
305,1210611
305,1998472
305,3692935
305,2587514
305,2655438
305,4795925
305,2628782
305,2887350
305,4522386
305,4727534
305,8139130
305,8790912
305,4158305
305,5659622
305,6251444
305,8258345
305,9781722
305,1556029
305,1760789
305,3472556
305,933157
305,7186985
305,8761764
305,9333100
305,1866148
305,7245989
305,9033749
305,5013219
305,9524589
305,11684
305,1708769
305,4038442
305,5157281
305,1318219
305,3248153
305,4151104
305,620897
305,1549620
305,6084901
305,9522884
305,2607827
305,1928055
305,1850133
305,3174326
305,4980525
305,1879390
305,7434991
305,6293277
305,10499
305,2640693
305,4038700
305,6836753
305,9092235
305,119407
305,3606881
305,4932273
305,5287234
305,1749265
305,1844348
305,2585495
305,3470892
305,6957984
306,2631297
306,4119078
306,1689430
306,5680936
306,9170919
306,1590562
306,2103421
306,5721574
306,8410876
306,8600992
306,9179925
306,2994748
306,6077043
306,2325867
306,7324392
306,8587043
306,8872861
306,4648373
306,4647547
306,2483223
306,2611941
306,1939292
306,4475178
306,5576743
306,8980528
306,7715337
306,260460
306,3455816
306,7855949
306,1411731
306,1942318
306,2624981
306,5297459
306,4420913
306,5171674
306,9179974
306,1830193
306,1596789
306,4295314
306,6739154
306,8490109
306,1414047
306,5339768
306,5696291
306,6904073
306,1412845
306,3514199
306,5988074
306,5988163
306,9179975
306,2063962
306,3469904
306,7631149
306,3467758
306,5131200
306,2073741
306,2611571
306,2978982
306,3617878
306,4404720
306,1088759
306,3686691
306,4075979
306,5557091
306,345058
306,2335464
306,2613483
306,6247604
306,7151653
306,7994351
306,1612664
306,1879111
306,4971841
306,5577711
306,8248771
306,10686
306,2335018
306,4064537
306,7768756
306,2108066
306,3618153
306,2502984
306,7413349
306,466271
306,2677446
306,3169215
306,9692185
306,1413295
306,2032364
306,4975845
306,5029399
306,8600047
306,9248458
306,5920742
306,7192882
306,1412767
306,6294090
306,6925485
306,8893577
306,4972835
306,5445243
306,6103477
306,6433772
306,7071017
505,561927
505,561934
505,1290226
505,2312266
505,2641263
505,3634056
505,6103804
505,561926
505,4150970
505,4361471
505,7037883
505,8998404
505,9032856
505,3151341
505,3152689
505,5984311
505,8603489
505,227676
505,3826217
505,5667761
505,561936
505,2595650
505,4146318
505,4368925
505,4917869
505,1694120
505,3197557
505,4380587
505,6270440
505,8998374
505,1680467
505,2552235
505,5350144
505,1367406
505,3367277
505,4690513
505,7604657
505,8998537
505,1023467
505,1561334
505,1662563
