Mast,MATHE7
120,0538730
120,3332152
120,7806721
121,2589529
121,3424119
121,7553547
121,6963215
121,6584384
121,7706463
121,5080742
122,5068229
122,3132508
122,5068117
122,3136596
122,6791735
122,3583075
122,5070645
122,3315285
122,3584733
122,5069583
122,5408933
122,7392552
122,3867982
122,3137342
122,1756521
122,7750261
122,3133591
122,4444000
122,9528130
123,7860499
123,2843449
123,5409058
123,1808488
123,9799997
123,6386917
123,5751397
123,2840567
123,6793246
123,6793795
123,2847955
123,1808165
123,3903044
123,5999813
123,5779212
123,1166652
123,7452092
123,1615830
123,3102030
112,4490997
112,0560769
112,2733636
112,1105216
112,0270457
112,7949075
112,4704475
112,4629721
112,5354770
112,8623510
114,7178499
114,2780018
114,3724428
114,1783467
114,5239227
114,2272816
114,6922945
114,8886842
114,6401652
114,2755751
114,3544371
114,2283170
118,0634498
118,2868628
118,3561568
118,1323628
118,7778407
118,1820427
118,5399186
118,4197826
118,4454206
118,0185361
118,1187175
118,1820675
118,8919675
118,2867744
118,9195553
118,2867213
118,9725983
118,5942832
118,2873261
118,0185714
118,3080770
119,5064987
119,2340557
119,0299043
119,4429493
119,9583292
119,6111371
119,1685600
120,6754289
120,7806038
120,1593127
120,3442997
120,7806037
120,3035966
120,9172995
120,5074594
120,9052984
120,0539036
120,6156402
120,5403800
121,5300109
121,3209418
121,4207186
121,8427703
121,3572841
121,2968661
121,7001601
121,1442960
121,3840520
122,7991289
122,7848126
122,8964005
122,7137455
122,6015445
122,6015355
122,6657394
122,7697673
122,3131363
122,4220863
122,8708603
122,3130162
122,1613202
122,5068611
122,1822020
122,4219550
123,2856189
123,5214688
123,3107048
123,2853857
123,7588675
123,2851475
123,8944265
123,8595744
123,5876574
123,1808384
123,4192313
123,9255473
123,2851013
123,4193682
123,9254762
123,5409022
123,6915831
123,6914081
123,1808431
123,2844300
124,3569789
124,1225459
124,3062268
124,2956398
124,6398627
124,1582307
124,2959886
124,3062795
124,4828255
124,8293502
124,6279312
124,2353860
112,4383539
112,6572109
112,6338229
112,8623999
112,1544278
112,1226907
112,4174806
112,8273156
112,8272166
112,4905816
112,8623015
112,3535664
112,2730882
112,0809116
112,2733140
112,1227020
114,2759149
114,6265958
114,3971474
114,2745964
114,7179673
114,9518333
114,2777652
114,1473232
114,3970042
114,7298881
118,5398439
118,7456049
118,8046719
118,3000209
118,3086708
118,1683838
118,3083367
118,6829297
118,8919626
118,2868295
118,4060505
118,0634654
118,8338795
118,2868314
118,1683703
118,5943213
118,8919773
118,1457162
118,6829002
118,5028942
118,4199451
118,9725251
119,4040709
119,3546128
119,6002778
119,5492567
119,4714126
119,2839814
119,2835894
119,7813174
119,2696143
119,2822211
119,3984030
119,1404200
120,2788527
120,6023147
120,2251046
